state_name,state_code,date,day_num,pfe_dose_1,pfe_dose_2,mrna_dose_1,mrna_dose_2,jnj_dose_1
Kentucky,KY,03/22/2021,98,60840,60840,43400.0,43400.0,5100.0
Mississippi,MS,03/22/2021,98,39780,39780,28700.0,28700.0,3400.0
North Carolina,NC,03/22/2021,98,138060,138060,99500.0,99500.0,11500.0
South Carolina,SC,03/22/2021,98,67860,67860,48800.0,48800.0,5700.0
Tennessee,TN,03/22/2021,98,90090,90090,65200.0,65200.0,7600.0
Chicago,,03/22/2021,98,37440,37440,26500.0,26500.0,3100.0
Illinois,IL,03/22/2021,98,136890,136890,98700.0,98700.0,11500.0
Indiana,IN,03/22/2021,98,88920,88920,64100.0,64100.0,7500.0
Michigan,MI,03/22/2021,98,135720,135720,98200.0,98200.0,11400.0
Minnesota,MN,03/22/2021,98,74880,74880,53800.0,53800.0,6300.0
Ohio,OH,03/22/2021,98,157950,157950,114100.0,114100.0,13200.0
Wisconsin,WI,03/22/2021,98,79560,79560,57100.0,57100.0,6700.0
Arkansas,AR,03/22/2021,98,39780,39780,28900.0,28900.0,3400.0
Louisiana,LA,03/22/2021,98,62010,62010,45000.0,45000.0,5200.0
New Mexico,NM,03/22/2021,98,29250,29250,20500.0,20500.0,2400.0
Oklahoma,OK,03/22/2021,98,52650,52650,37500.0,37500.0,4400.0
Texas,TX,03/22/2021,98,359190,359190,260400.0,260400.0,30200.0
Iowa,IA,03/22/2021,98,42120,42120,30400.0,30400.0,3600.0
Kansas,KS,03/22/2021,98,38610,38610,27800.0,27800.0,3300.0
Missouri,MO,03/22/2021,98,83070,83070,59500.0,59500.0,6900.0
Nebraska,NE,03/22/2021,98,25740,25740,18400.0,18400.0,2200.0
Colorado,CO,03/22/2021,98,74880,74880,54100.0,54100.0,6300.0
Montana,MT,03/22/2021,98,15210,15210,10400.0,10400.0,1200.0
North Dakota,ND,03/22/2021,98,10530,10530,7500.0,7500.0,900.0
South Dakota,SD,03/22/2021,98,11700,11700,8300.0,8300.0,1000.0
Utah,UT,03/22/2021,98,37440,37440,27100.0,27100.0,3200.0
Wyoming,WY,03/22/2021,98,8190,8190,5700.0,5700.0,700.0
Arizona,AZ,03/22/2021,98,93600,93600,67600.0,67600.0,7900.0
California,CA,03/22/2021,98,524160,524160,380300.0,380300.0,44000.0
Hawaii,HI,03/22/2021,98,19890,19890,14200.0,14200.0,1700.0
Nevada,NV,03/22/2021,98,39780,39780,28500.0,28500.0,3300.0
American Samoa,AS,03/22/2021,98,0,0,0.0,0.0,100.0
Guam,GU,03/22/2021,98,0,0,0.0,0.0,200.0
Marshall Islands,MH,03/22/2021,98,0,0,0.0,0.0,100.0
Micronesia,FM,03/22/2021,98,0,0,0.0,0.0,100.0
Mariana Islands,,03/22/2021,98,0,0,0.0,0.0,100.0
Palau,PW,03/22/2021,98,0,0,0.0,0.0,100.0
Alaska,AK,03/22/2021,98,0,0,0.0,0.0,1300.0
Idaho,ID,03/22/2021,98,22230,22230,15800.0,15800.0,1900.0
Oregon,OR,03/22/2021,98,57330,57330,40800.0,40800.0,4800.0
Washington,WA,03/22/2021,98,100620,100620,72400.0,72400.0,8400.0
Federal Entities,,03/22/2021,98,195390,195390,143000.0,143000.0,16700.0
Connecticut,CT,03/15/2021,91,49140,49140,35800.0,35800.0,4200.0
Maine,ME,03/15/2021,91,18720,18720,13700.0,13700.0,1600.0
Massachusetts,MA,03/15/2021,91,93600,93600,69000.0,69000.0,8000.0
New Hampshire,NH,03/15/2021,91,18720,18720,13700.0,13700.0,1600.0
Rhode Island,RI,03/15/2021,91,15210,15210,10800.0,10800.0,1300.0
Vermont,VT,03/15/2021,91,9360,9360,6500.0,6500.0,800.0
New Jersey,NJ,03/15/2021,91,119340,119340,87400.0,87400.0,10200.0
New York,NY,03/15/2021,91,150930,150930,111300.0,111300.0,12900.0
New York City,,03/15/2021,91,114660,114660,84500.0,84500.0,9800.0
Puerto Rico,PR,03/15/2021,91,46800,46800,34200.0,34200.0,4000.0
U.S. Virgin Islands,,03/15/2021,91,2340,2340,1100.0,1100.0,200.0
Delaware,DE,03/15/2021,91,12870,12870,9500.0,9500.0,1100.0
District of Columbia,DC,03/15/2021,91,10530,10530,7200.0,7200.0,900.0
Maryland,MD,03/15/2021,91,80730,80730,59000.0,59000.0,6900.0
Pennsylvania,PA,03/15/2021,91,153270,153270,112400.0,112400.0,13000.0
Philadelphia,,03/15/2021,91,22230,22230,15600.0,15600.0,1800.0
Virginia,VA,03/15/2021,91,112320,112320,82800.0,82800.0,9600.0
West Virginia,WV,03/15/2021,91,25740,25740,18500.0,18500.0,2200.0
Alabama,AL,03/15/2021,91,65520,65520,47700.0,47700.0,5600.0
Florida,FL,03/15/2021,91,281970,281970,208000.0,208000.0,24100.0
Georgia,GA,03/15/2021,91,134550,134550,98600.0,98600.0,11500.0
Kentucky,KY,03/15/2021,91,59670,59670,43400.0,43400.0,5100.0
Mississippi,MS,03/15/2021,91,39780,39780,28700.0,28700.0,3400.0
North Carolina,NC,03/15/2021,91,135720,135720,99500.0,99500.0,11500.0
South Carolina,SC,03/15/2021,91,66690,66690,48800.0,48800.0,5700.0
Tennessee,TN,03/15/2021,91,88920,88920,65200.0,65200.0,7600.0
Chicago,,03/15/2021,91,36270,36270,26500.0,26500.0,3100.0
Illinois,IL,03/15/2021,91,134550,134550,98700.0,98700.0,11500.0
Indiana,IN,03/15/2021,91,87750,87750,64100.0,64100.0,7500.0
Michigan,MI,03/15/2021,91,133380,133380,98200.0,98200.0,11400.0
Minnesota,MN,03/15/2021,91,73710,73710,53800.0,53800.0,6300.0
Ohio,OH,03/15/2021,91,155610,155610,114100.0,114100.0,13200.0
Wisconsin,WI,03/15/2021,91,78390,78390,57100.0,57100.0,6700.0
Arkansas,AR,03/15/2021,91,39780,39780,28900.0,28900.0,3400.0
Louisiana,LA,03/15/2021,91,62010,62010,45000.0,45000.0,5200.0
New Mexico,NM,03/15/2021,91,28080,28080,20500.0,20500.0,2400.0
Oklahoma,OK,03/15/2021,91,51480,51480,37500.0,37500.0,4400.0
Texas,TX,03/15/2021,91,353340,353340,260400.0,260400.0,30200.0
Iowa,IA,03/15/2021,91,42120,42120,30400.0,30400.0,3600.0
Kansas,KS,03/15/2021,91,38610,38610,27800.0,27800.0,3300.0
Missouri,MO,03/15/2021,91,80730,80730,59500.0,59500.0,6900.0
Nebraska,NE,03/15/2021,91,25740,25740,18400.0,18400.0,2200.0
Colorado,CO,03/15/2021,91,73710,73710,54100.0,54100.0,6300.0
Montana,MT,03/15/2021,91,14040,14040,10400.0,10400.0,1200.0
North Dakota,ND,03/15/2021,91,10530,10530,7500.0,7500.0,900.0
South Dakota,SD,03/15/2021,91,11700,11700,8300.0,8300.0,1000.0
